"Utility Type","Utility Name","Year","Residential","Total Usage"
"Investor owned utility","Avista Energy","1990","       8.875343","       8.875343"
"Investor owned utility","Bear Valley Electric Service","1990","      52.580684","      52.580684"
"Investor owned utility","Bear Valley Electric Service","1991","      51.900996","      51.900996"
"Investor owned utility","Bear Valley Electric Service","1992","      54.834000","      54.834000"
"Investor owned utility","Bear Valley Electric Service","1993","      54.369000","      54.369000"
"Investor owned utility","Bear Valley Electric Service","1994","      58.047000","      58.047000"
"Investor owned utility","Bear Valley Electric Service","1995","      59.122000","      59.122000"
"Investor owned utility","Bear Valley Electric Service","1996","      60.650000","      60.650000"
"Investor owned utility","Bear Valley Electric Service","1997","      61.201000","      61.201000"
"Investor owned utility","Bear Valley Electric Service","1998","      64.952000","      64.952000"
"Investor owned utility","Bear Valley Electric Service","1999","      64.437000","      64.437000"
"Investor owned utility","Bear Valley Electric Service","2000","      69.313000","      69.313000"
"Investor owned utility","Bear Valley Electric Service","2001","      66.514000","      66.514000"
"Investor owned utility","Bear Valley Electric Service","2002","      69.915000","      69.915000"
"Investor owned utility","Bear Valley Electric Service","2003","      69.497000","      69.497000"
"Investor owned utility","Bear Valley Electric Service","2004","      74.150000","      74.150000"
"Investor owned utility","Bear Valley Electric Service","2005","      78.057000","      78.057000"
"Investor owned utility","Bear Valley Electric Service","2006","      76.545000","      76.545000"
"Investor owned utility","Bear Valley Electric Service","2007","      76.993000","      76.993000"
"Investor owned utility","Bear Valley Electric Service","2008","      78.507000","      78.507000"
"Investor owned utility","Bear Valley Electric Service","2009","      77.065000","      77.065000"
"Investor owned utility","Bear Valley Electric Service","2010","      76.815000","      76.815000"
"Investor owned utility","Bear Valley Electric Service","2011","      78.398000","      78.398000"
"Investor owned utility","Bear Valley Electric Service","2012","      74.409000","      74.409000"
"Investor owned utility","Bear Valley Electric Service","2013","      76.429000","      76.429000"
"Investor owned utility","Bear Valley Electric Service","2014","      73.536000","      73.536000"
"Investor owned utility","Bear Valley Electric Service","2015","      77.765492","      77.765492"
"Investor owned utility","Bear Valley Electric Service","2016","      75.896265","      75.896265"
"Investor owned utility","Bear Valley Electric Service","2017","      75.680675","      75.680675"
"Investor owned utility","Bear Valley Electric Service","2018","      75.619148","      75.619148"
"Investor owned utility","Bear Valley Electric Service","2019","      78.464967","      78.464967"
"Investor owned utility","Bear Valley Electric Service","2020","      85.102904","      85.102904"
"Investor owned utility","Bear Valley Electric Service","2021","      87.207304","      87.207304"
"Investor owned utility","Bear Valley Electric Service","2022","      81.801715","      81.801715"
"Investor owned utility","Liberty Utilities","1990","     225.344303","     225.344303"
"Investor owned utility","Liberty Utilities","1991","     228.653612","     228.653612"
"Investor owned utility","Liberty Utilities","1992","     225.785561","     225.785561"
"Investor owned utility","Liberty Utilities","1993","     242.028014","     242.028014"
"Investor owned utility","Liberty Utilities","1994","     237.515599","     237.515599"
"Investor owned utility","Liberty Utilities","1995","     240.784184","     240.784184"
"Investor owned utility","Liberty Utilities","1996","     237.393000","     237.393000"
"Investor owned utility","Liberty Utilities","1997","     237.466000","     237.466000"
"Investor owned utility","Liberty Utilities","1998","     252.066000","     252.066000"
"Investor owned utility","Liberty Utilities","1999","     254.361000","     254.361000"
"Investor owned utility","Liberty Utilities","2000","     252.363000","     252.363000"
"Investor owned utility","Liberty Utilities","2001","     252.343000","     252.343000"
"Investor owned utility","Liberty Utilities","2002","     250.742000","     250.742000"
"Investor owned utility","Liberty Utilities","2003","     258.472000","     258.472000"
"Investor owned utility","Liberty Utilities","2004","     261.609000","     261.609000"
"Investor owned utility","Liberty Utilities","2005","     262.416000","     262.416000"
"Investor owned utility","Liberty Utilities","2006","     266.486000","     266.486000"
"Investor owned utility","Liberty Utilities","2007","     259.971000","     259.971000"
"Investor owned utility","Liberty Utilities","2008","     261.538000","     261.538000"
"Investor owned utility","Liberty Utilities","2009","     267.232000","     267.232000"
"Investor owned utility","Liberty Utilities","2010","     276.674000","     276.674000"
"Investor owned utility","Liberty Utilities","2011","     267.783000","     267.783000"
"Investor owned utility","Liberty Utilities","2012","     273.628000","     273.628000"
"Investor owned utility","Liberty Utilities","2013","     281.343000","     281.343000"
"Investor owned utility","Liberty Utilities","2014","     262.902000","     262.902000"
"Investor owned utility","Liberty Utilities","2015","     268.409065","     268.409065"
"Investor owned utility","Liberty Utilities","2016","     291.924548","     291.924548"
"Investor owned utility","Liberty Utilities","2017","     288.418176","     288.418176"
"Investor owned utility","Liberty Utilities","2018","     277.705815","     277.705815"
"Investor owned utility","Liberty Utilities","2019","     286.582287","     286.582287"
"Investor owned utility","Liberty Utilities","2020","     295.878990","     295.878990"
"Investor owned utility","Liberty Utilities","2021","     294.439240","     294.439240"
"Investor owned utility","Liberty Utilities","2022","     292.130775","     292.130775"
"Investor owned utility","Pacific Gas and Electric Company","1990","   23475.177574","   23475.177574"
"Investor owned utility","Pacific Gas and Electric Company","1991","   23807.321783","   23807.321783"
"Investor owned utility","Pacific Gas and Electric Company","1992","   23663.905000","   23663.905000"
"Investor owned utility","Pacific Gas and Electric Company","1993","   24111.122000","   24111.122000"
"Investor owned utility","Pacific Gas and Electric Company","1994","   24325.737000","   24325.737000"
"Investor owned utility","Pacific Gas and Electric Company","1995","   24391.280000","   24391.280000"
"Investor owned utility","Pacific Gas and Electric Company","1996","   25457.707000","   25457.707000"
"Investor owned utility","Pacific Gas and Electric Company","1997","   25946.061000","   25946.061000"
"Investor owned utility","Pacific Gas and Electric Company","1998","   26846.394836","   26846.394836"
"Investor owned utility","Pacific Gas and Electric Company","1999","   27739.242140","   27739.242140"
"Investor owned utility","Pacific Gas and Electric Company","2000","   28560.847756","   28560.847756"
"Investor owned utility","Pacific Gas and Electric Company","2001","   26779.552200","   26779.552200"
"Investor owned utility","Pacific Gas and Electric Company","2002","   27555.799724","   27555.799724"
"Investor owned utility","Pacific Gas and Electric Company","2003","   28777.489896","   28777.489896"
"Investor owned utility","Pacific Gas and Electric Company","2004","   29309.641151","   29309.641151"
"Investor owned utility","Pacific Gas and Electric Company","2005","   29895.517260","   29895.517260"
"Investor owned utility","Pacific Gas and Electric Company","2006","   31068.224924","   31068.224924"
"Investor owned utility","Pacific Gas and Electric Company","2007","   30718.745955","   30718.745955"
"Investor owned utility","Pacific Gas and Electric Company","2008","   31080.238360","   31080.238360"
"Investor owned utility","Pacific Gas and Electric Company","2009","   31274.254852","   31274.254852"
"Investor owned utility","Pacific Gas and Electric Company","2010","   30831.745613","   30831.745613"
"Investor owned utility","Pacific Gas and Electric Company","2011","   30943.847427","   30943.847427"
"Investor owned utility","Pacific Gas and Electric Company","2012","   31123.499375","   31123.499375"
"Investor owned utility","Pacific Gas and Electric Company","2013","   30786.390512","   30786.390512"
"Investor owned utility","Pacific Gas and Electric Company","2014","   29823.126180","   29823.126180"
"Investor owned utility","Pacific Gas and Electric Company","2015","   29165.728985","   29165.728985"
"Investor owned utility","Pacific Gas and Electric Company","2016","   28625.005153","   28625.005153"
"Investor owned utility","Pacific Gas and Electric Company","2017","   29138.289589","   29138.289589"
"Investor owned utility","Pacific Gas and Electric Company","2018","   27700.318464","   27700.318464"
"Investor owned utility","Pacific Gas and Electric Company","2019","   27485.172805","   27485.172805"
"Investor owned utility","Pacific Gas and Electric Company","2020","   29833.539744","   29833.539744"
"Investor owned utility","Pacific Gas and Electric Company","2021","   28385.999999","   28385.999999"
"Investor owned utility","Pacific Gas and Electric Company","2022","   27209.999999","   27209.999999"
"Investor owned utility","PacifiCorp","1990","     311.288553","     311.288553"
"Investor owned utility","PacifiCorp","1991","     350.493310","     350.493310"
"Investor owned utility","PacifiCorp","1992","     360.181797","     360.181797"
"Investor owned utility","PacifiCorp","1993","     361.673948","     361.673948"
"Investor owned utility","PacifiCorp","1994","     361.833611","     361.833611"
"Investor owned utility","PacifiCorp","1995","     345.315855","     345.315855"
"Investor owned utility","PacifiCorp","1996","     466.606460","     466.606460"
"Investor owned utility","PacifiCorp","1997","     368.264733","     368.264733"
"Investor owned utility","PacifiCorp","1998","     365.818698","     365.818698"
"Investor owned utility","PacifiCorp","1999","     366.964000","     366.964000"
"Investor owned utility","PacifiCorp","2000","     368.151000","     368.151000"
"Investor owned utility","PacifiCorp","2001","     357.543000","     357.543000"
"Investor owned utility","PacifiCorp","2002","     366.798000","     366.798000"
"Investor owned utility","PacifiCorp","2003","     385.628000","     385.628000"
"Investor owned utility","PacifiCorp","2004","     384.026000","     384.026000"
"Investor owned utility","PacifiCorp","2005","     390.980000","     390.980000"
"Investor owned utility","PacifiCorp","2006","     397.709000","     397.709000"
"Investor owned utility","PacifiCorp","2007","     409.359000","     409.359000"
"Investor owned utility","PacifiCorp","2008","     418.335000","     418.335000"
"Investor owned utility","PacifiCorp","2009","     406.600000","     406.600000"
"Investor owned utility","PacifiCorp","2010","     402.961000","     402.961000"
"Investor owned utility","PacifiCorp","2011","     400.728000","     400.728000"
