name,name_ascii,type,county_fips,state_id,state_name,lat,lng,population
Zayante,Zayante,City,6087,CA,California,37.0892,-122.0409,581
Yucca Valley,Yucca Valley,City,6071,CA,California,34.1234,-116.4216,21663
Yucaipa,Yucaipa,City,6071,CA,California,34.0336,-117.0429,54312
Yuba City,Yuba City,City,6101,CA,California,39.1357,-121.6383,129536
Yreka,Yreka,City,6093,CA,California,41.7291,-122.6312,7807
Yountville,Yountville,City,6055,CA,California,38.3963,-122.3671,3351
Youngstown,Youngstown,City,6043,CA,California,37.6481,-119.7182,35
Yosemite Valley,Yosemite Valley,City,6043,CA,California,37.7407,-119.5779,1210
Yosemite Lakes,Yosemite Lakes,City,6039,CA,California,37.1885,-119.7723,5388
Yorba Linda,Yorba Linda,City,6059,CA,California,33.889,-117.7714,68319
Yolo,Yolo,City,6113,CA,California,38.7405,-121.8093,243
Yettem,Yettem,City,6107,CA,California,36.4856,-119.256,274
Yermo,Yermo,City,6071,CA,California,34.9073,-116.8235,1014
Yankee Hill,Yankee Hill,City,6007,CA,California,39.7007,-121.5147,327
Wrightwood,Wrightwood,City,6071,CA,California,34.3495,-117.63,4568
Woody,Woody,City,6029,CA,California,35.7081,-118.8145,79
Woodville Farm Labor Camp,Woodville Farm Labor Camp,City,6107,CA,California,36.0832,-119.1479,469
Woodville,Woodville,City,6107,CA,California,36.0927,-119.2012,1906
Woodside,Woodside,City,6081,CA,California,37.4221,-122.2586,5316
Woodlands,Woodlands,City,6079,CA,California,35.0289,-120.5524,1939
Woodland,Woodland,City,6113,CA,California,38.6712,-121.75,60977
Woodlake,Woodlake,City,6107,CA,California,36.4122,-119.1,7458
Woodcrest,Woodcrest,City,6065,CA,California,33.8789,-117.3687,17492
Woodbridge,Woodbridge,City,6077,CA,California,38.1692,-121.3113,4090
Woodacre,Woodacre,City,6041,CA,California,38.0052,-122.6384,1279
Wofford Heights,Wofford Heights,City,6029,CA,California,35.7127,-118.4731,1964
Winton,Winton,City,6047,CA,California,37.3854,-120.6173,11623
Winters,Winters,City,6113,CA,California,38.532,-121.9781,7138
Winterhaven,Winterhaven,City,6025,CA,California,32.7372,-114.6378,92
Winter Gardens,Winter Gardens,City,6073,CA,California,32.8376,-116.9268,21978
