County Name,State Name,State Geography ID,Geography ID,Transportation Burden Pct Income,Energy Burden Pct Income
Roosevelt,New Mexico,G35,G3500410,0.042145243,0.0387
Scott,Mississippi,G28,G2801230,0.043794613,0.0489
St. Clair,Illinois,G17,G1701630,0.034521115,0.0306
Washington,Illinois,G17,G1701890,0.042373255,0.0467
Marion,Arkansas,G05,G0500890,0.04007504,0.0508
El Paso,Colorado,G08,G0800410,0.02788066,0.0223
St. Francois,Missouri,G29,G2901870,0.03650042,0.0385999999999999
Kiowa,Colorado,G08,G0800610,0.038826834,0.0647
Teller,Colorado,G08,G0801190,0.033786743,0.0372
Clinton,Missouri,G29,G2900490,0.040878944,0.0333
Wasatch,Utah,G49,G4900510,0.035374487,0.0202
Caribou,Idaho,G16,G1600290,0.039726111,0.0279
Douglas,Minnesota,G27,G2700410,0.03730485,0.0394
Jefferson,Montana,G30,G3000430,0.033818184,0.0311
Deer Lodge,Montana,G30,G3000230,0.037437093,0.043
Anderson,Kansas,G20,G2000030,0.04521249,0.0593
Knox,Illinois,G17,G1700950,0.038758855,0.0368
Wheatland,Montana,G30,G3001070,0.045499346,0.0436
McPherson,South Dakota,G46,G4600890,0.048365071,0.0519
Gunnison,Colorado,G08,G0800510,0.042854528,0.0365
Swift,Minnesota,G27,G2701510,0.041004388,0.0571
Ravalli,Montana,G30,G3000810,0.038556469,0.0483
Lincoln,Washington,G53,G5300430,0.039292963,0.0369
Baca,Colorado,G08,G0800090,0.044101415,0.0624
Boundary,Idaho,G16,G1600210,0.041974746,0.0504999999999999
Bear Lake,Idaho,G16,G1600070,0.041101998,0.0472
Nowata,Oklahoma,G40,G4001050,0.043733583,0.0491
Umatilla,Oregon,G41,G4100590,0.047278821,0.0289
Oglala Lakota,South Dakota,G46,G4601020,0.052297903,0.0857
Marshall,Kansas,G20,G2001170,0.043155844,0.0465
Valley,Montana,G30,G3001050,0.039460897,0.0354
Wichita,Kansas,G20,G2002030,0.041559381,0.0311
Charles Mix,South Dakota,G46,G4600230,0.044951667,0.0582
Cedar,Nebraska,G31,G3100270,0.042976176,0.0379
McHenry,Illinois,G17,G1701110,0.032060939,0.0181
