year,total_residential,capacity_in_year,prior_years_capacity
1990,51278.58148,0,0
1991,50886.93518,0,0
1992,52098.14,0,0
1993,51732.802,0,0
1994,52914.149000000005,0,0
1995,52889.849,0,0
1996,54852.469999999994,0,0
1997,56001.112,0,0
1998,57519.33158,0,0
1999,58536.44715,0,0
2000,61538.157996999995,0,0
2001,57584.960330999995,0,9.6
2002,58972.9751,9.6,9.6
2003,62728.29155,16.12,9.6
2004,64379.04512,27.84,25.72
2005,65879.45596,34.48,53.56
2006,68802.26023,42.39,88.04
2007,68225.72007,81.1,130.43
2008,69569.91271199999,116.72,211.54
2009,68921.8912,115.94,328.26
2010,67007.13723,174.51,444.2
2011,67718.28366,265.38,618.71
2012,69274.96927,314.25,884.09
2013,67975.5501,460.59,1198.33
2014,67166.89212,601.59,1658.93
2015,65519.02966,962.46,2260.51
2016,63729.36334,1188.23,3222.97
2017,64535.58833,1081.9,4411.21
2018,62293.54489,1119.56,5493.11
2019,62233.42063,1126.88,6612.66
2020,68659.07898,1207.47,7739.54
2021,64926.01229,1530.88,8947.01
2022,64631.03413,2057.24,10477.9
2023,NA,2283.93,12535.14
